fName,ind,categ,brain_val,activation,mean_act,sd_act,VV
neg_max_0.jpg,0,neg,pos,-31.0614342450315,45.8366004534457,82.894577786058,5.1663
neg_min_0.jpg,0,neg,neg,-557.248840312988,-553.032068143842,93.3979147436107,5.3607
neg_max_1.jpg,1,neg,pos,-103.937916760547,45.8366004534457,82.894577786058,4.9368
neg_min_1.jpg,1,neg,neg,-647.927749574622,-553.032068143842,93.3979147436107,4.9804
neg_max_2.jpg,2,neg,pos,-4.4501004124992,45.8366004534457,82.894577786058,5.3145
neg_min_2.jpg,2,neg,neg,-676.447135530577,-553.032068143842,93.3979147436107,4.7588
neg_max_3.jpg,3,neg,pos,69.7146882070346,45.8366004534457,82.894577786058,5.041
neg_min_3.jpg,3,neg,neg,-808.446199668148,-553.032068143842,93.3979147436107,4.9109
neg_max_4.jpg,4,neg,pos,154.492015442269,45.8366004534457,82.894577786058,4.9445
neg_min_4.jpg,4,neg,neg,-587.530450748542,-553.032068143842,93.3979147436107,4.9097
neg_max_5.jpg,5,neg,pos,-1.63830816214488,45.8366004534457,82.894577786058,4.6946
neg_min_5.jpg,5,neg,neg,-603.543261532699,-553.032068143842,93.3979147436107,4.6792
neg_max_6.jpg,6,neg,pos,122.792969397673,45.8366004534457,82.894577786058,5.3647
neg_min_6.jpg,6,neg,neg,-691.334406584822,-553.032068143842,93.3979147436107,5.3008
neg_max_7.jpg,7,neg,pos,22.2320229397485,45.8366004534457,82.894577786058,4.1193
neg_min_7.jpg,7,neg,neg,-716.998000010083,-553.032068143842,93.3979147436107,4.4683
neg_max_8.jpg,8,neg,pos,-11.9247382130938,45.8366004534457,82.894577786058,4.1413
neg_min_8.jpg,8,neg,neg,-637.711438773712,-553.032068143842,93.3979147436107,4.628
neg_max_9.jpg,9,neg,pos,-83.4760543893307,45.8366004534457,82.894577786058,5.2049
neg_min_9.jpg,9,neg,neg,-516.441204086304,-553.032068143842,93.3979147436107,5.1239
neg_max_10.jpg,10,neg,pos,21.2269463737402,45.8366004534457,82.894577786058,5.3889
neg_min_10.jpg,10,neg,neg,-588.602124791052,-553.032068143842,93.3979147436107,5.1753
neg_max_11.jpg,11,neg,pos,9.88324450011638,45.8366004534457,82.894577786058,4.635
neg_min_11.jpg,11,neg,neg,-560.436156718942,-553.032068143842,93.3979147436107,5.3347
neg_max_12.jpg,12,neg,pos,141.161942784514,45.8366004534457,82.894577786058,5.5586
neg_min_12.jpg,12,neg,neg,-598.278398030439,-553.032068143842,93.3979147436107,5.2919
neg_max_13.jpg,13,neg,pos,14.2630586180954,45.8366004534457,82.894577786058,5.3608
neg_min_13.jpg,13,neg,neg,-609.717416851482,-553.032068143842,93.3979147436107,5.3788
neg_max_14.jpg,14,neg,pos,198.016719195645,45.8366004534457,82.894577786058,5.0578
neg_min_14.jpg,14,neg,neg,-545.602802941177,-553.032068143842,93.3979147436107,4.9104
neg_max_15.jpg,15,neg,pos,1.45731962198614,45.8366004534457,82.894577786058,5.009
neg_min_15.jpg,15,neg,neg,-522.885793707711,-553.032068143842,93.3979147436107,5.1925
neg_max_16.jpg,16,neg,pos,170.05707246943,45.8366004534457,82.894577786058,5.2532
neg_min_16.jpg,16,neg,neg,-613.651071593322,-553.032068143842,93.3979147436107,5.1183
neg_max_17.jpg,17,neg,pos,6.89604755468175,45.8366004534457,82.894577786058,5.1705
neg_min_17.jpg,17,neg,neg,-515.409115177749,-553.032068143842,93.3979147436107,4.7194
neg_max_18.jpg,18,neg,pos,-47.7907604614044,45.8366004534457,82.894577786058,4.3198
neg_min_18.jpg,18,neg,neg,-491.460271882992,-553.032068143842,93.3979147436107,4.4232
neg_max_19.jpg,19,neg,pos,33.1692060295189,45.8366004534457,82.894577786058,4.8291
neg_min_19.jpg,19,neg,neg,-628.195572128475,-553.032068143842,93.3979147436107,4.8098
neg_max_20.jpg,20,neg,pos,29.0315332567096,45.8366004534457,82.894577786058,4.8717
neg_min_20.jpg,20,neg,neg,-643.289727478396,-553.032068143842,93.3979147436107,4.9069
neg_max_21.jpg,21,neg,pos,78.0524378840216,45.8366004534457,82.894577786058,4.9594
neg_min_21.jpg,21,neg,neg,-587.188223599033,-553.032068143842,93.3979147436107,4.3442
neg_max_22.jpg,22,neg,pos,102.59969038468,45.8366004534457,82.894577786058,5.1619
neg_min_22.jpg,22,neg,neg,-559.318628260431,-553.032068143842,93.3979147436107,5.4154
neg_max_23.jpg,23,neg,pos,27.5793231116236,45.8366004534457,82.894577786058,5.0554
neg_min_23.jpg,23,neg,neg,-420.442939131649,-553.032068143842,93.3979147436107,4.5708
